Cuerda,Prueba,RMS_in,RMS_out,RMS_ratio,SNR_dB,Coherencia_prom
cuerda1,3N1,0.1206614,0.039745033,0.3293931,1.2608371,0.022523118
cuerda1,3N2,0.15638378,0.052702457,0.33700716,1.021544,0.020107888
cuerda1,3N3,0.17313544,0.048413295,0.27962673,0.85610455,0.019552702
cuerda4,3N1,0.10931961,0.0420913,0.3850297,0.93489075,0.012106269
cuerda4,3N2,0.10743178,0.038362846,0.3570903,0.68875945,0.012672788
cuerda4,3N3,0.117248684,0.040853266,0.3484326,0.74287975,0.01342722
cuerda5,3N1,0.1273346,0.040727403,0.31984556,0.73462796,0.017031433
cuerda5,3N2,0.13316146,0.042773996,0.32121906,0.7263821,0.013722434
cuerda5,3N3,0.13307792,0.03160429,0.23748711,0.45050606,0.013088189
